Topology,Nodes,|K|,Gurobi (s),DA-L1 (s),Speedup,Gap (%)
ER,100,100,0.02,0.0048,3x,0.12
ER,200,100,0.02,0.0059,4x,0.08
ER,500,100,0.06,0.0156,4x,0.26
ER,1000,100,0.12,0.0360,3x,0.14
ER,2000,100,0.40,0.0749,5x,0.21
ER,5000,100,1.18,0.1858,6x,0.15
BA,100,100,0.02,0.0043,4x,0.54
BA,200,100,0.03,0.0093,3x,0.29
BA,500,100,0.05,0.0150,3x,0.54
BA,1000,100,0.13,0.0264,5x,0.30
BA,2000,100,0.54,0.0704,8x,0.16
BA,5000,100,2.09,0.2034,10x,0.16
